GEOID;Population;Year
0801903085;1188;2015
0801903086;1257;2015
0801903087;1461;2015
0801903088;1439;2015
0801903089;1204;2015
0801903090;1055;2015
0801903091;1442;2015
0801903092;1290;2015
0801903093;1569;2015
0801903094;1168;2015
0801903095;1640;2015
0801903096;1531;2015
0801903097;1599;2015
0801903098;1355;2015
0801903099;1030;2015
0801903100;1255;2015
0801903101;1762;2015
0801903102;1329;2015
0801903103;1195;2015
0801903104;1431;2015
0801903105;1138;2015
0801903106;1275;2015
0801903107;1526;2015
0801903108;1592;2015
0801903109;1459;2015
0801903110;1497;2015
0801903111;1303;2015
0801903112;1860;2015
0801903113;1613;2015
0801903114;1412;2015
0801903211;1421;2015
0801903212;2437;2015
0801903213;2341;2015
0801904001;1223;2015
0801904002;1879;2015
0801904003;1083;2015
0801904004;1022;2015
0801904005;1223;2015
0801904006;1161;2015
0801904007;1066;2015
0801904008;1026;2015
0801904009;1411;2015
0801904010;947;2015
0801904011;1669;2015
0801904012;1407;2015
0801904013;1242;2015
0801904014;769;2015
0801904015;1893;2015
0801904016;1115;2015
0801904017;1103;2015
0801904018;1573;2015
0801904019;1298;2015
0801904020;1420;2015
0801904021;1251;2015
0801904022;1525;2015
0801904023;1092;2015
0801904024;1070;2015
0801904025;1198;2015
0801904026;1340;2015
0801904027;1227;2015
0801904028;1347;2015
0801904029;1236;2015
0801904030;1794;2015
0801904031;1757;2015
0801904032;1544;2015
0801904033;1179;2015
0801904034;1492;2015
0801904035;1418;2015
0801904036;1722;2015
0801904037;2111;2015
0801904038;1276;2015
0801904039;1203;2015
0801904040;1598;2015
0801904041;1315;2015
0801904042;1724;2015
0801904043;1657;2015
0801904044;1602;2015
0801904045;1410;2015
0801904046;2438;2015
0801904047;1665;2015
0801904048;1561;2015
0801904049;1158;2015
0801904050;2038;2015
0801904051;1594;2015
0801904052;2172;2015
0801904053;1554;2015
0801904054;1088;2015
0801904055;1543;2015
0801904056;1724;2015
0801904084;1377;2015
0801905001;1633;2015
0801905002;1595;2015
0801905003;1374;2015
0801905004;1116;2015
0801905005;1083;2015
0801905006;1779;2015
0801905007;1602;2015
0801905008;1588;2015
0801905009;1750;2015
0801905010;1617;2015
0801905011;1397;2015
0801905012;1431;2015
0801905013;1720;2015
0801905014;1658;2015
0801905015;1573;2015
0801905016;1866;2015
0801905017;1599;2015
0801905018;1206;2015
0801905019;1656;2015
0801905020;1086;2015
0801905021;1273;2015
0801905022;1721;2015
0801905023;1495;2015
0801905024;1899;2015
0801905025;1565;2015
0801905026;1410;2015
0801905027;1348;2015
0801905028;1550;2015
0801905029;1716;2015
0801905030;1435;2015
0801905031;1611;2015
0801905032;1727;2015
0801905033;1374;2015
0801905034;1165;2015
0801905035;1089;2015
0801905036;1683;2015
0801905037;1400;2015
0801905038;1234;2015
0801905039;1539;2015
0801905040;1428;2015
0801905041;1792;2015
0801905042;1264;2015
0801905043;1398;2015
0801905044;1287;2015
0801905045;1526;2015
0801905046;1166;2015
0801905047;1285;2015
0801905048;1278;2015
0801905049;1625;2015
0801905050;1628;2015
0801905051;1624;2015
0801905052;1524;2015
0801905053;1466;2015
0801905054;1034;2015
0801905055;1440;2015
0801905056;1213;2015
0801905057;1715;2015
0801905058;1586;2015
0801905059;1589;2015
0801905060;1091;2015
0801905061;1427;2015
0801905062;1594;2015
0801905063;1566;2015
0801905064;1599;2015
0801905065;1660;2015
0801905066;1193;2015
0801905067;1289;2015
0801905068;1458;2015
0801905069;1713;2015
0801905070;1457;2015
0801905071;1574;2015
0801905072;1633;2015
0801905073;1630;2015
0801905074;1713;2015
0801905075;1688;2015
0801905076;1328;2015
0801905077;1403;2015
0801905078;2010;2015
0801905079;1238;2015
0801905080;1324;2015
0801905081;1513;2015
0801905082;1642;2015
0801905083;1305;2015
0801905084;1380;2015
0801905085;1434;2015
0801905086;1333;2015
0801905087;1513;2015
0801905088;1762;2015
0801905089;1666;2015
0801905090;1841;2015
0801905091;1513;2015
0801905092;1506;2015
0801905093;1137;2015
0801905094;2531;2015
0801905095;1603;2015
0801905096;1068;2015
0801905097;1594;2015
0801905098;1474;2015
0801906001;1050;2015
0801906002;1444;2015
0801906003;2246;2015
0801906004;1460;2015
0801906006;1022;2015
0801906007;1872;2015
0801906008;1860;2015
0801906009;1208;2015
0801906010;1013;2015
0801906011;1231;2015
0801906012;1086;2015
0801906013;1721;2015
0801906014;1349;2015
0801906015;1350;2015
0801906016;1594;2015
0801906017;1335;2015
0801906018;1281;2015
0801906019;1530;2015
0801906020;1127;2015
0801906021;1366;2015
0801906022;1388;2015
0801906023;1324;2015
0801906024;1594;2015
0801906025;1401;2015
0801906026;1021;2015
0801906027;1195;2015
0801906028;1317;2015
0801906029;1224;2015
0801906030;1356;2015
0801906031;1088;2015
0801906032;1143;2015
0801906033;1321;2015
0801906034;1250;2015
0801906035;1015;2015
0801906036;1385;2015
0801906037;1091;2015
0801906038;1475;2015
0801906039;1572;2015
0801906040;1617;2015
0801906041;1694;2015
0801906042;1704;2015
0801906043;1212;2015
0801906044;1458;2015
0801906045;1300;2015
0801906046;1073;2015
0801906047;1756;2015
0801906048;1403;2015
0801906049;1113;2015
0801906050;1230;2015
0801906051;1306;2015
0801906052;1602;2015
0801906053;1493;2015
0801906054;1592;2015
0801906055;1430;2015
0801906056;1524;2015
0801906057;1497;2015
0801906058;1691;2015
0801906059;1502;2015
0801906060;1787;2015
0801906061;1342;2015
0801906062;1354;2015
0801906063;1498;2015
0801906064;1895;2015
0801906065;1174;2015
0801906066;959;2015
0801906067;1758;2015
0801906068;1474;2015
0801906069;1117;2015
0801906070;1811;2015
0801906071;1084;2015
0801906072;1604;2015
0801906073;1396;2015
0801906074;1079;2015
0801906075;1085;2015
0801906076;1267;2015
0801906077;1215;2015
0801906078;1277;2015
0801906079;1114;2015
0801906080;1171;2015
0801906081;1270;2015
0801906082;1776;2015
0801906083;1714;2015
0801906084;1455;2015
0801906085;1203;2015
0801906086;950;2015
0801906087;1860;2015
0801906088;1210;2015
0801907001;1553;2015
0801907002;1126;2015
0801907003;1294;2015
0801907004;1509;2015
0801907005;1499;2015
0801907006;955;2015
0801907007;1397;2015
0801907008;1422;2015
0801907009;1177;2015
0801907010;1326;2015
0801907011;1124;2015
0801907012;1544;2015
0801907013;1229;2015
0801907014;905;2015
0801907015;1398;2015
0801907016;1332;2015
0801907017;1639;2015
0801907018;1587;2015
0801907019;1450;2015
0801907020;1552;2015
0801907021;1043;2015
0801907022;1116;2015
0801907023;1275;2015
0801907024;1407;2015
0801907025;1373;2015
0801907026;1053;2015
0801907027;1946;2015
0801907028;1443;2015
0801907029;1263;2015
0801907030;1328;2015
0801907031;1559;2015
0801907032;1291;2015
0801907033;1379;2015
0801907034;1551;2015
0801907035;1760;2015
0801907036;1346;2015
0801907037;1478;2015
0801907038;1314;2015
0801907039;1544;2015
0801907040;1469;2015
0801907041;1378;2015
0801907042;1528;2015
0801907043;1370;2015
0801907044;1280;2015
0801907045;1479;2015
0801907046;1396;2015
0801907047;1424;2015
0801907048;1191;2015
0801907049;1215;2015
0801907050;1129;2015
0801907051;1712;2015
0801907052;1241;2015
0801907053;1469;2015
0801907054;1536;2015
0801907055;1159;2015
0801907056;1176;2015
0801907057;1436;2015
0801907058;1390;2015
0801907059;1307;2015
0801907060;1814;2015
0801907061;1250;2015
0801907062;1260;2015
0801907063;1450;2015
0801907064;1667;2015
0801907065;1625;2015
0801907066;1756;2015
0801907067;1518;2015
0801907068;1188;2015
0801907069;1443;2015
0801907070;1383;2015
0801907071;1350;2015
0801907072;1337;2015
0801907073;1061;2015
0801907074;1718;2015
0801907075;1248;2015
0801907076;1334;2015
0801907077;1284;2015
0801907078;1312;2015
0801907079;1367;2015
0801907080;1784;2015
0801907081;1966;2015
0801907082;1289;2015
0801907083;1237;2015
0801907084;1316;2015
0801907085;1286;2015
0801907086;1445;2015
0801907087;1569;2015
0801907088;1253;2015
0801907089;1283;2015
0801907090;1444;2015
0801907091;1126;2015
0801907092;1345;2015
0801907093;1556;2015
0801907094;1207;2015
0801907095;1537;2015
0801907096;1386;2015
0801907097;916;2015
0801907098;1871;2015
0801907099;1069;2015
0801907100;1161;2015
0801907101;1367;2015
0801907102;542;2015
0801907103;1479;2015
0801907104;1577;2015
0801907105;1053;2015
0801907106;1111;2015
0801907107;1246;2015
0801907108;1244;2015
0801907109;1630;2015
0801907110;1011;2015
0801907111;888;2015
0801907112;1254;2015
0801907113;1164;2015
0801907114;1175;2015
0801907115;1137;2015
0801907116;1476;2015
0801907117;1555;2015
0801907118;1216;2015
0801907119;1181;2015
0801907120;1210;2015
0801907121;1189;2015
0801907122;1304;2015
0801907123;1367;2015
0801908001;1249;2015
0801908002;1276;2015
0801908003;1214;2015
0801908004;1403;2015
0801908005;1151;2015
0801908006;1467;2015
0801908007;1195;2015
0801908008;1627;2015
0801908009;1664;2015
0801908010;1111;2015
0801908011;1169;2015
0801908012;1358;2015
0801908013;1209;2015
0801908014;1193;2015
0801908015;1358;2015
0801908016;1180;2015
0801908017;1323;2015
0801908018;1552;2015
0801908019;1752;2015
0801908020;1248;2015
0801908021;1452;2015
0801908022;1213;2015
0801908023;1350;2015
0801908024;1384;2015
0801908025;1179;2015
0801908026;1335;2015
0801908027;1266;2015
0801908028;1085;2015
0801908029;1495;2015
0801908030;1437;2015
0801908031;1292;2015
0801908032;1317;2015
0801908033;1418;2015
0801908034;1146;2015
0801908035;1668;2015
0801908036;1465;2015
0801908037;1490;2015
0801908038;1445;2015
0801908039;1526;2015
0801908040;1625;2015
0801908041;2343;2015
